p-table-body-item,p-table-body-item 2,,p-table-body-item 3,p-table-body-item 4,,p-table-body-item 5,p-table-body-item 6,p-table-body-item 7,,,p-table-body-item 8,p-table-body-item 9,p-table-body-item 10,p-table-body-item 11,p-table-body-item 12,p-table-body-item 13,p-table-body-item 14,p-table-body-item 15,d-none,p-table-body-item 16,p-table-body-item 17,,
249,2.00135E+11,,アパート,173.88㎡,愛知県,愛知県名古屋市南区鶴里町２丁目,"専属
オーナーチェンジ","7,500万円","7,500",7000,一住,168.16㎡,,公開中,一方,桜通線 鶴里,徒歩 5分,北5.4m,（株）プレミアム住マイル,2017年（平成29年） 7月,052-602-7621,,250615
250,2.00134E+11,,マンション,394.00㎡,愛知県,愛知県一宮市花池４丁目,"専任
オーナーチェンジ","6,990万円","6,990",6000,一中,524.24㎡,,公開中,一方,名鉄本線 妙興寺,徒歩 7分,北6m,（株）プレミアム住マイル,1990年（平成 2年） 3月,070-1636-0814,,250615
251,2.00134E+11,,マンション,267.38㎡,岐阜県,岐阜県岐阜市加納堀田町１丁目,"専属
オーナーチェンジ","6,800万円","6,800",6000,一住,484.24㎡,公開中,一方,東海道線 岐阜,徒歩 20分,-,（株）プレミアム住マイル,1988年（昭和63年） 7月,052-602-7621,,,250615
252,2.00134E+11,,アパート,146.83㎡,愛知県,愛知県名古屋市中川区九重町,"専属
オーナーチェンジ","5,900万円","5,900",5000,準工,129.52㎡,公開中,角地,名古屋線 黄金,徒歩 6分,北5.5m,（株）プレミアム住マイル,2016年（平成28年）12月,052-602-7621,,,250615
253,2.00134E+11,,アパート,173.17㎡,愛知県,愛知県名古屋市西区上名古屋２丁目,"専属
オーナーチェンジ","7,300万円","7,300",7000,近商,170.68㎡,申込あり,一方,鶴舞線 浄心,徒歩 3分,西10.4m,（株）プレミアム住マイル,2014年（平成26年） 7月,052-602-7621,,,250615
254,3.00123E+11,https://drive.google.com/file/d/1UhEdCpOLEoqwxnom2dm0qnH4bGX1EHcU/view?usp=drivesdk,アパート,288.58㎡,三重県,三重県鳥羽市小浜町,"売主
オーナーチェンジ","2,460万円","2,460",2000,二住,129.28㎡,-,一方,伊勢志摩線 鳥羽,徒歩 10分,北6m,（株）フロンティアコーポレーション,2020年（令和 2年） 3月,8014765771,リノクラッセ鳥羽アネックス,,250615
255,4.00134E+11,,アパート,"1,136.04㎡",群馬県,群馬県館林市近藤町,"専任
オーナーチェンジ","7,200万円","7,200",7000,準工,594.38㎡,公開中,-,東武小泉線 成島,徒歩 15分,東4m,（株）ベスト不動産,2006年（平成18年） 2月,092-739-8700,プラムヴィラ,,250615
256,1.00135E+11,,アパート,234.74㎡,神奈川県,神奈川県綾瀬市落合北７丁目,売主,"5,680万円","5,680",5000,一住,221.88㎡,-,-,江ノ島線 長後,停歩 2分/バス 15分,-,（株）ベルテックス,1987年（昭和62年）12月,046-828-6651,長後第３レジデンス,,250615
257,1.00134E+11,https://drive.google.com/file/d/1gL_MzDRf7B2GMZbaJ-1e0KAkcTjfaUmH/view?usp=drivesdk,アパート,81.78㎡,神奈川県,神奈川県横須賀市緑が丘,"専任
オーナーチェンジ","1,230万円","1,230",1000,一中,92.87㎡,公開中,-,京浜急行線 横須賀中央,徒歩 8分,南1.5m,（株）ポートホームズ,1987年（昭和62年） 1月,045-323-5555,緑が丘邸,,250615
258,4.00135E+11,,アパート,147.67㎡,福岡県,福岡県久留米市荒木町藤田,"専任
オーナーチェンジ","1,000万円","1,000",1000,-,147.99㎡,公開中,-,鹿児島線 荒木,徒歩 32分,北西,（株）ホームスター不動産管理,1977年（昭和52年）12月,0942-65-3504,,,250615
259,1.00133E+11,https://drive.google.com/file/d/1UpT008B0oIvZHgWOfzO4Gj-OFMRNGG9D/view?usp=drivesdk,アパート,219.14㎡,宮城県,宮城県仙台市青葉区国見２丁目,一般,"3,270万円","3,270",3000,二中,201.60㎡,-,二方,仙山線 東北福祉大前,徒歩 10分,北7m,（株）ホットハウス,1983年（昭和58年） 3月,8058563955,,,250615
260,1.00134E+11,,アパート,278.65㎡,千葉県,千葉県木更津市畑沢２丁目,"専任
オーナーチェンジ","1,900万円","1,900",1000,一中,79.48㎡,公開中,一方,内房線 君津,停歩 2分/バス 9分,東5m,（株）ほりきり太郎不動産,1993年（平成 5年） 3月,0438-97-5514,第二サニーハイツ,,250615
261,3.00134E+11,,マンション,177.33㎡,大阪府,大阪府大阪市住吉区山之内１丁目,一般,"10,000万円","10,000",10000,二中,447.94㎡,-,一方,南海高野線 我孫子前,徒歩 5分,北11m,（株）マックス不動産販売 南巽店,1973年（昭和48年） 6月,06-4309-8605,志村ハイツ,,250615
262,1.00134E+11,,アパート,214.98㎡,東京都,東京都練馬区春日町２丁目,"一般
オーナーチェンジ","11,000万円","11,000",11000,一中,216.20㎡,-,-,有楽町線 平和台,徒歩 10分,-,（株）ミラキュラル,1990年（平成 2年） 5月,03-6908-6601,春日町ハイム,,250615
263,1.00134E+11,,アパート,115.71㎡,埼玉県,埼玉県川越市岸町３丁目,"一般
オーナーチェンジ","3,800万円","3,800",3000,一中,128.68㎡,-,-,東武東上線 新河岸,徒歩 15分,-,（株）ミラキュラル,1992年（平成 4年） 3月,03-6908-6601,サンコート岸町,,250615
264,1.00134E+11,,アパート,99.17㎡,東京都,東京都練馬区三原台１丁目,"一般
オーナーチェンジ","7,800万円","7,800",7000,一低,105.28㎡,-,-,西武池袋線 石神井公園,徒歩 12分,-,（株）ミラキュラル,1990年（平成 2年）11月,03-6908-6601,ライフステージ石神井,,250615
265,1.00134E+11,,アパート,"1,075.42㎡",埼玉県,埼玉県本庄市朝日町２丁目,"一般
オーナーチェンジ","11,100万円","11,100",11000,一住,427.20㎡,-,角地,高崎線 本庄,徒歩 17分,南6m,（株）ライズプランニング,2012年（平成24年） 6月,03-3561-0411,ファミーユ本庄Ａ棟・Ｂ棟,,250615
266,2.00131E+11,,アパート,59.94㎡,愛知県,愛知県名古屋市守山区町南,"売主
オーナーチェンジ","3,790万円","3,790",3000,近商,116.45㎡,-,-,瀬戸線 矢田,徒歩 6分,北12m,（株）ライフィング,2020年（令和 2年） 1月,0586-52-6720,ＬＩＦＩＮＧ Ｃｏｕｒｔ 矢田駅東,,250615
267,2.00118E+11,,マンション,99.39㎡,愛知県,愛知県名古屋市北区山田１丁目,"売主
オーナーチェンジ","8,500万円","8,500",8000,商業,174.68㎡,-,-,名城線 大曽根,徒歩 2分,南15.9m,（株）ライフィング,1993年（平成 5年） 4月,0586-52-6720,ライフィングコート大曽根駅前,,250615
268,2.0013E+11,,マンション,216.97㎡,愛知県,愛知県名古屋市名東区西山台,"売主
オーナーチェンジ","7,990万円","7,990",7000,一住,303.43㎡,-,二方,東山線 星ヶ丘,徒歩 24分,北8m,（株）ライフィング,1993年（平成 5年） 3月,0586-52-6720,リアライズ西山台,,250615
269,2.00129E+11,,アパート,357.68㎡,静岡県,静岡県菊川市下平川,専任,"1,000万円","1,000",1000,定めなし,143.66㎡,公開中,一方,東海道線 菊川,徒歩 83分,北4.7m,（株）ライフイン企画,1990年（平成 2年） 7月,0537-73-6262,コーポタイム,,250615
270,1.00124E+11,,アパート,199.81㎡,宮城県,宮城県仙台市青葉区国見４丁目,"一般
オーナーチェンジ","6,500万円","6,500",6000,二中,199.80㎡,-,一方,仙山線 国見,徒歩 10分,北4m,（株）ラサキ不動産,2019年（平成31年） 4月,8055537854,,,250615
271,3.00134E+11,,アパート,"1,081.73㎡",兵庫県,兵庫県加古川市尾上町口里,"専属
オーナーチェンジ","19,900万円","19,900",19000,一中,469.52㎡,公開中,-,山陽電鉄本線 浜の宮,徒歩 6分,-,（株）ランドデザイン,2023年（令和 5年） 8月,06-6486-2588,ＴＨＩＮＫＬＡＮＤ浜の宮 ★現在満室です！！★,,250615
272,2.00128E+11,,アパート,306.46㎡,静岡県,静岡県静岡市葵区上足洗４丁目,"一般
オーナーチェンジ","5,400万円","5,400",5000,-,170.28㎡,-,-,静鉄 柚木,徒歩 38分,南西4m,（株）ランドトラスト,1986年（昭和61年） 7月,054-238-6667,,,250615
273,1.00135E+11,,アパート,294.99㎡,新潟県,新潟県阿賀野市日の出町,"売主
オーナーチェンジ",980万円,980,0,二中,200.40㎡,-,一方,羽越線 水原,徒歩 26分,南9m,（株）ランドネット,1990年（平成 2年）11月,03-3986-7201,グランデュール妹尾,,250615
274,1.00134E+11,,アパート,105.76㎡,北海道,北海道札幌市中央区南四条西１２丁目,"売主
オーナーチェンジ","3,980万円","3,980",3000,近商,238.08㎡,-,-,札幌市電 西１５丁目,徒歩 9分,-,（株）ランドネット,1994年（平成 6年） 5月,03-3986-7217,ディアナパレス,,250615
275,1.00134E+11,,アパート,122.65㎡,東京都,東京都練馬区豊玉北１丁目,"一般
オーナーチェンジ","13,400万円","13,400",13000,一中,115.90㎡,-,-,大江戸線 新江古田,徒歩 7分,-,（株）ランドネット,2019年（平成31年） 1月,03-3986-5515,ハーモニーテラス豊玉北,,250615
276,1.00134E+11,,アパート,133.38㎡,北海道,北海道札幌市東区北十二条東４丁目,"売主
オーナーチェンジ","3,840万円","3,840",3000,一住,237.91㎡,-,一方,地下東豊線 東区役所前,徒歩 6分,東4.5m,（株）ランドネット,1995年（平成 7年） 7月,03-3986-7217,グランフォルム北１２条,,250615
277,1.00135E+11,,アパート,208.00㎡,神奈川県,神奈川県平塚市中原３丁目,"専任
オーナーチェンジ","6,000万円","6,000",6000,一中,199.90㎡,公開中,一方,東海道線 平塚,徒歩 44分,北5m,（株）ランドネット横浜支店,2010年（平成22年） 9月,045-313-9017,ＴＡＫＵＭＩ,,250615
278,1.00135E+11,,アパート,134.00㎡,千葉県,千葉県船橋市上山町１丁目,"売主
オーナーチェンジ","2,900万円","2,900",2000,一低,97.68㎡,-,一方,武蔵野線 船橋法典,徒歩 9分,北東6m,（株）ランドネット 渋谷支店,2002年（平成14年） 8月,03-3409-1317,上山町１丁目アパート,,250615
279,1.00135E+11,,アパート,343.00㎡,茨城県,茨城県ひたちなか市北神敷台,"一般
オーナーチェンジ","2,000万円","2,000",2000,一低,275.10㎡,-,-,ひたち海浜 殿山,徒歩 19分,-,（株）ランドネット 渋谷支店,1996年（平成 8年） 8月,03-3409-1313,アメニティ神敷台,,250615
280,3.00133E+11,,マンション,212.82㎡,大阪府,大阪府大阪市淀川区十三元今里１丁目,専任,"16,000万円","16,000",16000,-,681.87㎡,公開中,-,東海道線 塚本,徒歩 10分,-,（株）リードエイジ,1988年（昭和63年） 3月,06-6282-7558,メゾン菊水,,250615
281,3.00133E+11,,マンション,201.68㎡,大阪府,大阪府富田林市谷川町,専任,"6,000万円","6,000",6000,-,277.19㎡,公開中,-,近鉄長野線 富田林西口,徒歩 6分,-,（株）リードエイジ,1991年（平成 3年） 2月,06-6282-7558,Ｒｉｎｏｎ谷川,,250615
282,3.00134E+11,,マンション,194.38㎡,兵庫県,兵庫県明石市別所町,売主,"4,600万円","4,600",4000,-,194.38㎡,-,-,山陽線 西明石,徒歩 8分,-,（株）リードエイジ,築年不詳,06-6282-7558,,,250615
283,2.00132E+11,,アパート,140.00㎡,愛知県,愛知県名古屋市守山区鳥神町,"一般
オーナーチェンジ","5,480万円","5,480",5000,二住,161.68㎡,-,角地,ＧＢ志段味 川宮,徒歩 8分,北16m,（株）リクラス,2007年（平成19年）12月,0120-67-0021,ルーグラン,,250615
284,1.00135E+11,,アパート,152.70㎡,千葉県,千葉県松戸市二ツ木,一般,"10,114万円","10,114",10000,準住,205.71㎡,-,一方,常磐緩行線 北小金,徒歩 14分,北東,（株）リビングコンシェル 国分寺店,2024年（令和 6年） 7月,042-312-4763,レジデンス新松戸,,250615
285,1.00132E+11,,アパート,284.97㎡,秋田県,秋田県秋田市横森４丁目,"専任
オーナーチェンジ","2,100万円","2,100",2000,一低,189.56㎡,公開中,-,秋田新幹線 秋田,徒歩 32分,西6m,（株）リブエス 秋田店,1990年（平成 2年） 4月,018-838-7826,秋田市横森四丁目 中古アパート,,250615
286,1.00132E+11,,アパート,181.00㎡,秋田県,秋田県潟上市昭和大久保字宮の前,"専任
オーナーチェンジ","2,300万円","2,300",2000,一中,185.48㎡,公開中,-,奥羽線 大久保,徒歩 14分,西6.5m,（株）リブエス 秋田店,2009年（平成21年） 2月,018-838-7826,潟上市昭和大久保 中古アパート,,250615
287,1.00132E+11,,アパート,241.33㎡,秋田県,秋田県秋田市八橋本町６丁目,"専任
オーナーチェンジ","2,180万円","2,180",2000,一住,167.26㎡,公開中,-,奥羽線 泉外旭川,徒歩 45分,北4.5m,（株）リブエス 秋田店,1990年（平成 2年） 2月,018-838-7826,秋田市八橋本町六丁目 中古アパート,,250615
288,1.00135E+11,,マンション,139.37㎡,神奈川県,神奈川県横浜市南区若宮町３丁目,"一般
オーナーチェンジ","11,000万円","11,000",11000,一住,258.41㎡,-,-,横浜ブルー 弘明寺,徒歩 5分,-,（株）レジデンス・マネジメント,1990年（平成 2年） 2月,03-5318-8030,,,250615
289,4.00133E+11,,アパート,266.57㎡,福岡県,福岡県福岡市東区和白２丁目,"売主
オーナーチェンジ","4,800万円","4,800",4000,一住,161.56㎡,-,-,西鉄貝塚線 和白,徒歩 8分,南4m,（株）レントハウス不動産,1999年（平成11年）10月,092-607-5555,イーストピア和白,,250615
290,4.00135E+11,,アパート,272.70㎡,福岡県,福岡県福津市花見の里１丁目,代理,"5,700万円","5,700",5000,一住,148.80㎡,-,-,鹿児島線 千鳥,徒歩 12分,北東5m,（株）レントハウス不動産,2017年（平成29年） 1月,092-607-5555,ファインフォレスタ福津,,250615
291,4.00133E+11,,アパート,"2,272.99㎡",福岡県,福岡県嘉麻市漆生,"一般
オーナーチェンジ","5,800万円","5,800",5000,定めなし,"1,137.95㎡",-,-,後藤寺線 下鴨生,徒歩 53分,北,（株）レントハウス不動産,1986年（昭和61年）10月,092-607-5555,漆生第２コーポＡ棟、Ｂ棟,,250615
292,4.00134E+11,,アパート,588.92㎡,福岡県,福岡県福岡市東区和白４丁目,"一般
オーナーチェンジ","9,580万円","9,580",9000,一住,394.76㎡,-,-,西鉄貝塚線 和白,徒歩 7分,南東4m,（株）レントハウス不動産,2007年（平成19年） 2月,092-607-5555,マリンサイド壱番館・弐番館,,250615
293,4.00133E+11,,マンション,"2,030.54㎡",福岡県,福岡県飯塚市伊岐須,"一般
オーナーチェンジ","25,000万円","25,000",25000,一中,"1,525.75㎡",-,-,,,-,（株）レントハウス不動産,1989年（平成 1年） 3月,092-607-5555,メゾン山美Ⅰ・Ⅱ,,250615
294,4.00133E+11,,アパート,202.71㎡,福岡県,福岡県福岡市東区和白４丁目,"売主
オーナーチェンジ","6,800万円","6,800",6000,一住,225.04㎡,-,-,香椎線 和白,徒歩 3分,南東3.9m,（株）レントハウス不動産,2011年（平成23年）12月,092-607-5555,ＣＩＡＯ ＷＡＪＩＲＯ,,250615
295,4.00133E+11,,アパート,526.84㎡,福岡県,福岡県直方市大字感田,"一般
オーナーチェンジ","7,560万円","7,560",7000,一住,295.82㎡,-,二方,筑豊電鉄線 遠賀野,徒歩 15分,西11.4m,（株）レントハウス不動産,2018年（平成30年） 4月,092-607-5555,アムールエスパス,,250615
296,4.00133E+11,,アパート,485.07㎡,福岡県,福岡県福岡市東区和白東２丁目,"一般
オーナーチェンジ","6,300万円","6,300",6000,一低,278.24㎡,-,-,香椎線 和白,徒歩 13分,西4.4m,（株）レントハウス不動産,1988年（昭和63年） 3月,092-607-5555,グランピア和白東,,250615
297,4.00133E+11,,アパート,698.31㎡,福岡県,福岡県宗像市河東,"一般
オーナーチェンジ","6,200万円","6,200",6000,一低,372.63㎡,-,-,鹿児島線 東郷,徒歩 40分,-,（株）レントハウス不動産,2007年（平成19年） 2月,092-607-5555,プリムローズ・ユー,,250615
298,4.00133E+11,,アパート,"1,035.93㎡",福岡県,福岡県飯塚市伊岐須,"一般
オーナーチェンジ","7,550万円","7,550",7000,一住,659.06㎡,-,-,筑豊線 新飯塚,徒歩 57分,西7m,（株）レントハウス不動産,1996年（平成 8年） 4月,092-607-5555,ヴィブレＡ・Ｂ・Ｃ,,250615
299,4.00134E+11,,アパート,142.42㎡,福岡県,福岡県福岡市東区香椎５丁目,"一般
オーナーチェンジ","1,900万円","1,900",1000,-,105.96㎡,-,-,香椎線 香椎神宮,徒歩 10分,南西5m,（株）レントハウス不動産,1999年（平成11年） 9月,092-607-5555,ヌウハレイ千早,,250615
300,4.00133E+11,,マンション,420.09㎡,福岡県,福岡県福岡市東区香住ヶ丘４丁目,"売主
オーナーチェンジ","15,500万円","15,500",15000,一住,502.10㎡,-,-,西鉄貝塚線 香椎花園前,徒歩 7分,東5.4m,（株）レントハウス不動産,1995年（平成 7年） 3月,092-607-5555,ガーデンハイム香住ヶ丘,,250615
301,4.00133E+11,,アパート,337.99㎡,福岡県,福岡県飯塚市伊岐須,売主,"6,600万円","6,600",6000,一低,198.40㎡,アズール九工大前,-,-,筑豊線 新飯塚,徒歩 44分,北東7.5m,（株）レントハウス不動産,2025年（令和 7年） 3月,092-607-5555,,250615
302,4.00133E+11,,アパート,"2,407.90㎡",福岡県,福岡県飯塚市相田,"一般
オーナーチェンジ","5,530万円","5,530",5000,二低,533.40㎡,カーサエスペラール,-,-,筑豊線 新飯塚,徒歩 85分,-,（株）レントハウス不動産,1999年（平成11年） 2月,092-607-5555,,250615
303,4.00133E+11,,アパート,640.52㎡,福岡県,福岡県飯塚市下三緒,"一般
オーナーチェンジ","6,800万円","6,800",6000,一低,311.34㎡,カーサデュオ,-,-,後藤寺線 新飯塚,徒歩 17分,北西,（株）レントハウス不動産,2000年（平成12年）12月,092-607-5555,,250615
304,4.00133E+11,,アパート,"1,900.35㎡",福岡県,福岡県飯塚市伊川,"一般
オーナーチェンジ","9,300万円","9,300",9000,二住,458.76㎡,スパサイド伊川,-,-,筑豊線 新飯塚,徒歩 68分,北西6.2m,（株）レントハウス不動産,2015年（平成27年） 7月,092-607-5555,,250615
305,4.00133E+11,,マンション,"1,500.12㎡",福岡県,福岡県直方市新知町,"一般
オーナーチェンジ","18,000万円","18,000",18000,準工,"2,308.25㎡",ロイヤルメゾン,-,-,筑豊電鉄線 筑豊直方,徒歩 7分,北東15m,（株）レントハウス不動産,1986年（昭和61年） 3月,092-607-5555,,250615
306,3.00134E+11,,マンション,124.59㎡,大阪府,大阪府大阪市旭区新森２丁目,一般,"8,100万円","8,100",8000,-,265.09㎡,,-,-,大阪メトロ今里筋線 新森古市,徒歩 6分,-,（株）万事屋,,06-6829-7369,,250615
307,1.00135E+11,,マンション,298.82㎡,栃木県,栃木県小山市駅東通り１丁目,"一般
オーナーチェンジ","4,980万円","4,980",4000,二住,408.48㎡,,-,角地,東北本線（宇都宮線） 小山,徒歩 10分,北6m,（株）三ラージ,1985年（昭和60年） 1月,0270-27-8777,,250615
308,1.00133E+11,,アパート,176.00㎡,埼玉県,埼玉県北葛飾郡杉戸町高野台西１丁目,専任,"6,980万円","6,980",6000,近商,218.20㎡,エクセレントハイム,公開中,角地,東武日光線 杉戸高野台,徒歩 5分,12m,（株）三光エステート,2003年（平成15年）10月,8071161323,,250615
309,1.00134E+11,,アパート,330.55㎡,北海道,北海道札幌市南区真駒内東町１丁目,一般,"4,980万円","4,980",4000,一住,583.21㎡,グラシアスガシンⅡ・Ⅲ,-,角地,地下南北線 自衛隊前,徒歩 5分,北5.3m,（株）三光リアルティ,1993年（平成 5年）12月,011-558-3400,,250615
310,1.00135E+11,,アパート,247.27㎡,東京都,東京都杉並区阿佐谷南１丁目,"専属
オーナーチェンジ","29,920万円","29,920",29000,一中,284.24㎡,フラットありあけと金沢荘,公開中,一方,中央線 阿佐ケ谷,徒歩 3分,北西3.4m,（株）不動産センター,1969年（昭和44年） 8月,03-3963-1131,,250615
311,1.00128E+11,,アパート,152.15㎡,神奈川県,神奈川県相模原市南区東大沼２丁目,専属,"2,830万円","2,830",2000,一低,144.04㎡,ぷちはいむ,公開中,一方,横浜線 古淵,徒歩 26分,西5.9m,（株）住建ヤマト渕野辺店,1988年（昭和63年）11月,042-754-0259,,250615
312,1.00135E+11,,アパート,491.40㎡,東京都,東京都練馬区貫井５丁目,"売主
オーナーチェンジ","16,300万円","16,300",16000,一住,384.24㎡,レオパレスライブリィスターⅡ,-,二方,西武池袋線 中村橋,徒歩 13分,南東5.7m,（株）住栄都市サービス,2004年（平成16年） 2月,070-4198-7451,,250615
313,1.00135E+11,,アパート,201.45㎡,東京都,東京都中野区沼袋３丁目,"売主
オーナーチェンジ","10,400万円","10,400",10000,一低,143.72㎡,レオパレス野方第１６,-,一方,西武新宿線 沼袋,徒歩 7分,西5.4m,（株）住栄都市サービス,1991年（平成 3年）10月,070-4198-7451,,250615
314,1.00135E+11,,アパート,98.25㎡,東京都,東京都板橋区東山町,"売主
オーナーチェンジ","11,300万円","11,300",11000,近商,186.30㎡,レオパレスＲＸ常盤台第４,-,一方,東武東上線 ときわ台,徒歩 13分,24.9m,（株）住栄都市サービス,1990年（平成 2年）12月,070-4198-7451,,250615
315,1.00135E+11,,アパート,392.41㎡,神奈川県,神奈川県藤沢市辻堂５丁目,"専属
オーナーチェンジ","11,800万円","11,800",11000,一低,259.94㎡,シェレンバウム,公開中,一方,東海道線 辻堂,徒歩 15分,南4m,（株）信栄不動産,1987年（昭和62年） 2月,0466-34-1230,,250615
316,1.00135E+11,,アパート,225.36㎡,東京都,東京都練馬区早宮３丁目,"一般
オーナーチェンジ","13,000万円","13,000",13000,一低,223.36㎡,アイコート豊島園,-,-,大江戸線 豊島園,徒歩 10分,-,（株）大三,2014年（平成26年）12月,080-5451-0031,,250615
317,1.00135E+11,,マンション,165.43㎡,愛媛県,愛媛県松山市空港通２丁目,"一般
オーナーチェンジ","4,880万円","4,880",4000,準工,297.16㎡,池川マンション,-,角地,伊予郡中線 土居田,徒歩 9分,北,（株）常陽トラスト,1986年（昭和61年） 1月,045-326-3077,,250615
318,1.00135E+11,,マンション,731.08㎡,愛媛県,愛媛県松山市古川西３丁目,"一般
オーナーチェンジ","11,280万円","11,280",11000,一住,814.90㎡,リッチフィールド古川西,-,一方,予讃線 市坪,徒歩 14分,西4m,（株）常陽トラスト,1988年（昭和63年） 5月,045-326-3077,,250615
319,1.00135E+11,,マンション,753.59㎡,愛媛県,愛媛県松山市山越６丁目,"一般
オーナーチェンジ","12,100万円","12,100",12000,一住,974.39㎡,セントポーリア山越,-,一方,伊予高浜線 衣山,徒歩 13分,東4m,（株）常陽トラスト,1989年（平成 1年） 3月,045-326-3077,,250615
320,1.00133E+11,,アパート,518.89㎡,北海道,北海道石狩郡当別町緑町,専属,"4,200万円","4,200",4000,一中,391.26㎡,リバーサイドＹＡＭＡＤＡ,公開中,二方,札沼線 当別,徒歩 5分,南10.1m,株式会社田西会館,1995年（平成 7年） 1月,0133-23-2170,,250615
321,1.00134E+11,,アパート,316.70㎡,神奈川県,神奈川県相模原市南区鵜野森２丁目,専任,"13,200万円","13,200",13000,一低,211.62㎡,Ａｍｂｉｔｉｏｎ町田,公開中,一方,横浜線 町田,徒歩 13分,北6.9m,（株）新日本コンサルティング,2019年（令和 1年） 6月,345601003,,250615
322,1.00135E+11,,マンション,396.45㎡,東京都,東京都立川市上砂町５丁目,"専任
オーナーチェンジ","14,430万円","14,430",14000,工業,433.12㎡,ルミエール上砂第一,公開中,一方,西武拝島線 武蔵砂川,徒歩 5分,南東3.6m,（株）新日本コンサルティング,1987年（昭和62年）10月,050-3149-0701,,250615
323,1.00134E+11,,アパート,170.44㎡,東京都,東京都東久留米市新川町２丁目,"専任
オーナーチェンジ","14,690万円","14,690",14000,二中,243.45㎡,ＷＩＬＬ ＴＥＲＲＡＣＥ,公開中,二方,西武池袋線 東久留米,徒歩 10分,北西4.5m,（株）新日本コンサルティング,2019年（令和 1年） 6月,345601003,,250615
324,1.00132E+11,,アパート,168.12㎡,東京都,東京都大田区大森南１丁目,"専任
オーナーチェンジ","13,500万円","13,500",13000,準工,158.58㎡,コーポキネマ大森南,公開中,一方,京浜急行線 梅屋敷,徒歩 16分,東4m,（株）新明不動産商事,2005年（平成17年）11月,364248228,,250615
325,1.0013E+11,,マンション,76.27㎡,東京都,東京都大田区多摩川１丁目,"一般
オーナーチェンジ","12,300万円","12,300",12000,準工,301.06㎡,ＴＫビル,-,一方,東急多摩川 矢口渡,徒歩 4分,東35m,（株）新明不動産商事,1972年（昭和47年） 1月,364248228,,250615
326,3.00135E+11,,アパート,155.11㎡,京都府,京都府京都市山科区音羽千本町,"専属
オーナーチェンジ","8,800万円","8,800",8000,一中,220.20㎡,Ｒｏａｄ ｍａｄｅ,公開中,-,京都市営地下鉄東西線 東野,徒歩 12分,北7.7m,（株）明星住販,2018年（平成30年）12月,075-502-2720,,250615
327,1.00134E+11,,アパート,500.22㎡,新潟県,新潟県上越市寺町２丁目,"一般
オーナーチェンジ","1,480万円","1,480",1000,一中,208.68㎡,コーポ寺前,-,一方,妙高ライン 高田,徒歩 15分,南8m,（株）昭和林業の家,1990年（平成 2年） 7月,255454800,,250615
328,1.00131E+11,,アパート,439.83㎡,神奈川県,神奈川県横浜市磯子区森２丁目,"一般
オーナーチェンジ","11,120万円","11,120",11000,一住,258.36㎡,,-,一方,京浜東北線 磯子,徒歩 7分,4m,（株）東都 資産運用ユニット,2015年（平成27年） 8月,424448258,,250615
329,2.00134E+11,,マンション,276.99㎡,愛知県,愛知県名古屋市瑞穂区中山町１丁目,専任,"12,000万円","12,000",12000,近商,528.17㎡,ハーモニアス桜山,公開中,一方,桜通線 桜山,徒歩 5分,東10m,（株）箕浦不動産,1995年（平成 7年） 2月,052-803-0085,,250615
330,1.0013E+11,,アパート,84.00㎡,東京都,東京都町田市南大谷,"専属
オーナーチェンジ","1,598万円","1,598",1000,一低,52.88㎡,アートハウス,公開中,一方,小田急線 町田,徒歩 16分,北4m,（株）藤島,1971年（昭和46年） 6月,9030699831,,250615
331,1.00135E+11,,アパート,151.32㎡,埼玉県,埼玉県入間郡毛呂山町大字毛呂本郷,"専属
オーナーチェンジ","2,480万円","2,480",2000,一住,158.32㎡,センティアまつもと,公開中,一方,八高線 毛呂,徒歩 8分,西2.9m,（株）西武開発 飯能店,1994年（平成 6年） 3月,042-972-2411,,250615
332,3.00132E+11,,アパート,335.74㎡,大阪府,大阪府和泉市池上町２丁目,専任,"2,000万円","2,000",2000,-,152.42㎡,和泉市池上町,公開中,一方,阪和線 信太山,徒歩 8分,南東4.1m,（株）長谷川,1965年（昭和40年）11月,072-462-3345,,250615
333,4.00126E+11,,アパート,835.00㎡,福岡県,福岡県久留米市城島町江上上,"専任
オーナーチェンジ","6,300万円","6,300",6000,定めなし,406.24㎡,ドリーム龍 ドリーム紅,公開中,-,西鉄大牟田 大溝,徒歩 32分,-,（株）駅前不動産 売買大牟田,2003年（平成15年） 1月,070-6400-6097,,250615
334,4.00132E+11,,アパート,255.60㎡,福岡県,福岡県八女市黒木町北木屋,"一般
オーナーチェンジ",560万円,560,0,定めなし,135.12㎡,黒木町北木屋 賃貸戸建（２軒）,-,-,,,-,（株）駅前不動産 売買大牟田,1991年（平成 3年）12月,070-6400-6097,,250615
335,4.0013E+11,,アパート,171.63㎡,福岡県,福岡県柳川市三橋町江曲,"専任
オーナーチェンジ",980万円,980,0,定めなし,115.92㎡,コーポ江曲,公開中,-,西鉄大牟田 西鉄柳川,徒歩 29分,-,（株）駅前不動産 売買大牟田,1994年（平成 6年）10月,070-6400-6097,,250615
336,4.00132E+11,,アパート,632.58㎡,福岡県,福岡県柳川市三橋町棚町,"専任
オーナーチェンジ","3,500万円","3,500",3000,定めなし,401.20㎡,プレジール垂見,公開中,-,西鉄大牟田 塩塚,徒歩 25分,-,（株）駅前不動産 売買筑後,1987年（昭和62年）11月,070-6590-6210,,250615
